name,label
Mirror,0
Gunawan Hari,1
Rizki Sari,1
Yusuf Zara,1
Television,0
Gloves,0
Kiki Lili,1
Car,0
Flower,0
Paper,0
Flower,0
Kartika Lestari,1
Clock,0
Book,0
Knife,0
Vina Wahyu,1
Lamp,0
Window,0
Mega Novi,1
Citra Dewi,1
Yusuf Zara,1
Yani Zulkifli,1
Vina Tari,1
Chair,0
Pencil,0
Window,0
Envelope,0
Paper,0
Glass,0
Television,0
Pencil,0
Smartphone,0
Shirt,0
Budi Cahyono,1
Printer,0
Knife,0
Flower,0
Kiki Lili,1
Budi Cahyono,1
Indah Mega,1
Cup,0
Hadi Susilo,1
Shoes,0
Gloves,0
Bicycle,0
Knife,0
Hadi Susilo,1
Pen,0
Indah Joko,1
Omar Purnomo,1
Rizki Sari,1
Joko Darma,1
Pen,0
Joko Darma,1
Umar Susilo,1
Indah Joko,1
Car,0
Budi Cahyono,1
Book,0
Painting,0
Rahmat Susilo,1
Vina Tari,1
Umar Susilo,1
Zulkifli Teguh,1
Printer,0
Pen,0
Lestari Kiki,1
Hat,0
Pen,0
Maya Nia,1
Lamp,0
Painting,0
Zulkifli Teguh,1
Tari Umi,1
Paper,0
Lamp,0
Teguh Umar,1
Car,0
Cahyono Darma,1
Gita Hadi,1
Rizki Sari,1
Television,0
Lestari Kiki,1
Citra Dewi,1
Tree,0
Indah Mega,1
Laptop,0
Omar Purnomo,1
Table,0
Cup,0
Glass,0
Table,0
Yani Zulkifli,1
Yani Zulkifli,1
Painting,0
Pencil,0
Gita Hadi,1
Plate,0
Indah Joko,1
Agus Budi,1
Cahyono Darma,1
Kartika Lestari,1
Envelope,0
Flower,0
Gita Endah,1
Painting,0
Kiki Lili,1
Kartika Lestari,1
Vira Wulan,1
Omar Purnomo,1
Mega Novi,1
Bayu Gunawan,1
Yani Zulkifli,1
Budi Cahyono,1
Kiki Lili,1
Book,0
Hadi Arif,1
Lestari Kiki,1
Cahyono Darma,1
Laptop,0
Oka Putri,1
Indah Mega,1
Yani Zulkifli,1
Kartika Lestari,1
Paper,0
Yani Zulkifli,1
Bag,0
Mountain,0
Printer,0
Mirror,0
Putri Citra,1
Tari Umi,1
Rahmat Susilo,1
Plate,0
Cahyono Darma,1
Rahmat Susilo,1
Vina Wahyu,1
Bottle,0
Cahyono Darma,1
Agus Budi,1
Intan Jaka,1
Car,0
Fork,0
Television,0
Hat,0
Television,0
Spoon,0
Omar Purnomo,1
Vina Wahyu,1
Agus Budi,1
Vina Tari,1
Television,0
Tree,0
Citra Dewi,1
Indah Mega,1
Glass,0
Painting,0
Kartika Lestari,1
Agus Budi,1
Hadi Arif,1
Lamp,0
Painting,0
Printer,0
Hadi Arif,1
Notebook,0
Camera,0
Wahyu Intan,1
Gita Hadi,1
Indah Joko,1
Envelope,0
Maya Nia,1
Camera,0
Maya Nia,1
Radio,0
Envelope,0
Knife,0
Radio,0
Cahyono Darma,1
Gita Endah,1
Umar Susilo,1
Teguh Umar,1
Printer,0
Paper,0
Kartika Lestari,1
Mega Novi,1
Gunawan Hari,1
Rizki Sari,1
Glass,0
Tari Umi,1
Fork,0
Door,0
Pen,0
Kartika Lestari,1
Kartika Lestari,1
Indah Mega,1
Envelope,0
Wahyu Intan,1
Yusuf Zara,1
Eka Fajar,1
Cup,0
Kartika Lestari,1
Endah Fitri,1
Kartika Lestari,1
Radio,0
Oka Putri,1
Vira Wulan,1
Flower,0
Citra Dewi,1
Table,0
Car,0
Eka Fitri,1
Printer,0
Hadi Susilo,1
Eka Fajar,1
Paper,0
Maya Nia,1
Yusuf Zara,1
Eka Fajar,1
Kartika Lestari,1
Fork,0
Radio,0
Chair,0
Envelope,0
Painting,0
Umar Susilo,1
Budi Cahyono,1
Hadi Arif,1
Television,0
Pencil,0
Gita Endah,1
Intan Jaka,1
Budi Cahyono,1
Agus Budi,1
Window,0
Cup,0
Smartphone,0
Oka Putri,1
Hat,0
Flower,0
Cup,0
Table,0
Kartika Lestari,1
Arif Bayu,1
Fork,0
Indah Joko,1
Citra Dewi,1
Arif Bayu,1
Plate,0
Book,0
Envelope,0
Paper,0
Bag,0
Joko Darma,1
Shoes,0
Rahmat Susilo,1
Shoes,0
Budi Cahyono,1
Flower,0
Umar Susilo,1
Tari Umi,1
Knife,0
Table,0
Mountain,0
Omar Purnomo,1
Gita Endah,1
Vina Tari,1
Fork,0
Watch,0
Gloves,0
Door,0
Book,0
Plate,0
Yusuf Zara,1
Bottle,0
Gita Endah,1
Hadi Arif,1
Cup,0
Glass,0
Joko Darma,1
Yusuf Zara,1
Indah Mega,1
Book,0
Yani Zulkifli,1
Budi Cahyono,1
Vira Wulan,1
