Text,Category
Nasi Goreng,Food
Sate Ayam,Food
Gado-Gado,Food
Rendang,Food
Ayam Goreng,Food
Bakso,Food
Soto Ayam,Food
Nasi Uduk,Food
Mie Goreng,Food
Pecel Lele,Food
Ketoprak,Food
Tempeh,Food
Tahu Goreng,Food
Lontong Sayur,Food
Ayam Penyet,Food
Nasi Padang,Food
Sambal Terasi,Food
Babi Guling,Food
Bebek Goreng,Food
Sop Buntut,Food
Sate Kambing,Food
Nasi Liwet,Food
Gudeg,Food
Rawon,Food
Tengkleng,Food
Babi Panggang,Food
Sate Maranggi,Food
Sop Konro,Food
Ikan Bakar,Food
Sate Lilit,Food
Coto Makassar,Food
Bubur Ayam,Food
Pempek,Food
Sayur Asem,Food
Soto Betawi,Food
Asinan Betawi,Food
Tongseng,Food
Balado,Food
Pepes Ikan,Food
Ayam Betutu,Food
Karedok,Food
Martabak Manis,Food
Martabak Telur,Food
Otak-Otak,Food
Lontong Balap,Food
Serabi,Food
Rujak Cingur,Food
Mie Aceh,Food
Tahu Gejrot,Food
Es Campur,Food
Es Teler,Food
Es Cendol,Food
Kue Cubit,Food
Kue Lumpur,Food
Kue Putu,Food
Klepon,Food
Risoles,Food
Pastel,Food
Lemper,Food
Onde-Onde,Food
Bolu Kukus,Food
Pisang Goreng,Food
Lapis Legit,Food
Nasi Kuning,Food
Sambal Matah,Food
Sambal Bajak,Food
Dadar Gulung,Food
Getuk,Food
Bika Ambon,Food
Kerak Telor,Food
Bumbu Pecel,Food
Arem-Arem,Food
Bakmi Jawa,Food
Kue Pancong,Food
Kue Ape,Food
Tiwul,Food
Roti Bakar,Food
Bubur Sumsum,Food
Bubur Kacang Hijau,Food
Kolak,Food
Sate Padang,Food
Sate Taichan,Food
Mie Kocok,Food
Empal Gentong,Food
Nasi Timbel,Food
Tahu Sumedang,Food
Batagor,Food
Siomay,Food
Mie Bangka,Food
Lempok Durian,Food
Srikaya Palembang,Food
Ayam Pop,Food
Singkong Keju,Food
Tiwul Ayu,Food
Pindang Patin,Food
Pindang Serani,Food
Tekwan,Food
Sate Madura,Food
Ayam Rica-Rica,Food
Ikan Asin,Food
Roti,Food
Nasi,Food
Ayam,Food
Ikan,Food
Daging Sapi,Food
Daging Babi,Food
Telur,Food
Keju,Food
Susu,Food
Mentega,Food
Pasta,Food
Pizza,Food
Hamburger,Food
Sandwich,Food
Salad,Food
Sup,Food
Kentang Goreng,Food
Roti Bakar,Food
Pancake,Food
Wafel,Food
Cokelat,Food
Es Krim,Food
Kue,Food
Biskuit,Food
Puding,Food
Yogurt,Food
Buah Apel,Food
Pisang,Food
Jeruk,Food
Anggur,Food
Melon,Food
Semangka,Food
Mangga,Food
Nanas,Food
Stroberi,Food
Tomat,Food
Wortel,Food
Brokoli,Food
Bayam,Food
Selada,Food
Jagung,Food
Kacang Hijau,Food
Kacang Merah,Food
Kacang Kedelai,Food
Jamur,Food
Bawang Putih,Food
Bawang Merah,Food
Jahe,Food
Lada Hitam,Food
Garam,Food
Gula,Food
Madu,Food
Selai Kacang,Food
Saus Tomat,Food
Mayones,Food
Mustard,Food
Cuka,Food
Minyak Zaitun,Food
Minyak Kelapa,Food
Minyak Wijen,Food
Teh,Food
Kopi,Food
Jus Jeruk,Food
Air Kelapa,Food
Bir,Food
Anggur Merah,Food
Anggur Putih,Food
Sate,Food
Sushi,Food
Sashimi,Food
Tacos,Food
Burritos,Food
Nachos,Food
Falafel,Food
Hummus,Food
Paella,Food
Tapas,Food
Ratatouille,Food
Lasagna,Food
Spaghetti,Food
Tiramisu,Food
Croissant,Food
Bagel,Food
Donat,Food
Muffin,Food
Sereal,Food
Popcorn,Food
Nasi Goreng,Food
Mie Goreng,Food
Tempura,Food
Kimchi,Food
Bibimbap,Food
Pho,Food
Gyoza,Food
